isv	pos	synonyms
parohija		parafija
parovoz		lokomotiva
particip		pričestje
partitura		noty
pas		pojas, remenj
pasti		spasti, upasti
pastuh		ovčar, pastyr
pastva		stado, črěda
pastyr		ovčar, pastuh
pauza		prěryv
pelopones		peloponez
peloponessky		peloponezsky
peloponez		pelopones
peloponezsky		peloponessky
pelun		črnobylj
penis		huj, kolbasa, kurec
pepel		popel
pepelavy		pepelisty, popelavy, popelisty
pepelisty		pepelavy, popelavy, popelisty
pepelnik		popelnica
percepcija		pojmanje, vozprijetje
perforator		dirkovač
pergament		velen
periferija		okrajina
periferijny		okrajny
period		doba, obdobje
perje		operjenje
personal		kadry
personalny		ličny, osobny
personalny zaimennik		osobny zaimennik
personifikacija		uosobjenje
perun		blěskavica, molnja
perversnik		razvratnik
perversny		izvračeny, razvratny
pesimist		črnoglednik
pesimističny		črnogledny
pesimizm		črnoglednost
pest		grst
pestry		mnogoraky, raznorodny
peterka		petka
petikutnik		petivugolnik
petivugolnik		petikutnik
petka		peterka
petno		fleka, pljama
petsot		petsto
petsto		petsot
pety měsec		maj, travenj
pečatar		printer
pečatarstvo		tiskarstvo
pečatati		odpečatyvati
pečatna grěška		tipkovna grěška
pečenj		hepa, jetra, vutraba
phnuti		tknuti
pijany		hmeljny, netrězvy, upity
pijemy		pitny
pikirovanje		nyrjanje, pikirovka
pikirovati		nyrjati
pikirovka		nyrjanje, pikirovanje
pikirovnik		nyrec, nyrjatelj
pilulka		tabletka
pinati		napinati, nategati, razpinati, raztegati
ping-pong		stolny tenis
pion		pěšak
pirovati		godovati
piskati		piščeti
pisme		bukva, litera
pismennost		gramotnost, pismo
pismo		dopis, pismennost
pitny		pijemy
pivnica		podval, suteren
pišati		scati, sikati
pišeča mašina		pišeči stroj
pišeči stroj		pišeča mašina
piščeti		piskati
plakati		rydati
plan		naměr, razklad, zamysl
planovati		naměrjati
plast		sloj
platba		danj, danok, podanok
plavati		plyvti
plavny		běgly, tečny
plavy		rusy
plemenec		netij
plemenica		nestera
plesati		tancevati
pleskati		šlepati
plesknuti		šlepnuti
pletenka		kosa
pljama		fleka, petno
plod		ovoč
ploditi		roditi
plosky		ravny
plot		obora, ograda, tělo
plug		ralo
plyvti		plavati
plěn		žrtva
plěvnja		ambar, stodola
pnuti		napeti, napružiti, razpeti, raztegnuti
po		podolg, poslě, sgodno s, soglasno, suglasno
po odnošenju k		v odnošenju k
po pričině		jerbo za, radi, vslěd, za, zaradi
po slučaju		povodom
po strělkě časovnika		v směru strělky časovnika
poblažlivy		lagodny
poblizu		blizko
pobrěžny		brěgovy, brěžny
pobuditi		navesti, osměliti, vozbuditi
pobudžati		osměljati, stimulovati, vozbudžati
pobudženje		stimulacija
pobytje		prěbyvanje
poběda		izigranje, vitezstvo
poběditelj		izigratelj
pocělunok		pocěluvka
pocěluvka		pocělunok
pod		poniž, poniže
pod voditeljstvom		pod vodstvom
pod vodstvom		pod voditeljstvom
podanok		danj, danok, platba
podarok		dar
podbirati		vozimati, vozvoditi
podbrati		vozdvignuti, vozjeti, vozvesti
poddanje		kapitulacija
poddavajemy		čutlivy
poddržati		podporiti, podtrimati
poddrživanje		podpor, podtrimyvanje
poddrživati		podpirati, podtrimyvati
poddržka		podtrimyvanje
podglavnica		poduška
podgovarjati		podstrěkati
podgrěti		ogrěti
podgrěvati		ogrěvati
podimati		prědprijmati
podjeti		prědprijeti
podkazka		aluzija
podklad		fon, pozadje, tlo
podkladati		podlagati
podključati		prilučati, prisjedinjati, sjedinjati
podključati se		prilučati se, prisjedinjati se, sjedinjati se
podključiti		priložiti, prilučiti, prisjediniti, sjediniti
podključiti se		prilučiti se, prisjediniti se, sjediniti se
podkrěpiti		potvrditi, ukrěpiti, usiliti, utvrditi
podkrěpjati		krěpiti, ukrěpjati, utvrdžati
podlagati		podkladati
podle		pored, susědno do, vodle, vozdolž
podliti		navodniti, orositi
podlivati		navodnjati, obvadnjati, orašati
podloga		fundament, osnova, podstava, tlo, zaklad
podly		nizky
podnapisy		subtitry
podnebje		klima, klimat
podnebny		klimatsky
podnožišče		nadir
podnurjati		pogružati, zanurjati
podoba		manera, podobnost, režim, shodnost, sposob
podobnost		podoba, shodnost, srodstvo
podobny		shodny
pododděl		podrazděl
podolg		po, sgodno s, soglasno, suglasno
podpaliti		zažegti
podpaljati		zažigati
podpirati		poddrživati
podpiska		abonement
podpisnik		abonent, prědoplatnik
podpor		opora, poddrživanje, podtrimyvanje, stojka
podporiti		poddržati
podporka		stojka
podpornik		privrženec, strannik
podporny		oporny
podrastok		tinejdžer
podrazděl		pododděl
podrobnost		detalj
podrobny		detaljny
područnik		priručnik, učebnik
područny		priručny
podružiti se		sprijateliti se
podstava		fundament, osnova, podloga, zaklad
podstavka na mylo		mylnica
podstrěkati		podgovarjati
podsvědomje		podsvědomost
podsvědomost		podsvědomje
podtalirka		bljudce
podtekst		podton
podton		podtekst
podtrimati		poddržati
podtrimyvanje		poddrživanje, poddržka, podpor
podtrimyvati		poddrživati
poduška		podglavnica
podvajati		dvojiti
podval		pivnica, suteren
podvisiti		pozastaviti
podvodna lod		podvodnica
podvodnica		podvodna lod
podvrgnuti		izstaviti
podzirati		podzrěvati
podzrěny		sumnlivy
podzrěvati		podzirati
podčas		pri, v tečenju, v vrěmenu, v času, za
poděl		děl, uděl
poděti se		izgubiti se
pogan		poganin
poganin		pogan
pogaršati		goršiti
pogladiti		zagladiti
pogled		vozgled, zrělišče
pogledatelj		gledač, zritelj
pogledati		poglednuti, posmotriti, pozrěti
poglednuti		glednuti, pogledati, pozrěti, zirknuti
pogledyvati		zirkati
pogoda		vrěme
pogoltnuti		goltnuti, progoltnuti
pogoltnuti solzy		progoltnuti solzy
pogon		gon, gonitva
pogrdlivy		prězravy
pogruziti		potopiti, zanuriti
pogružati		podnurjati, potapjati, zanurjati
pogrěšiti		zabluditi
pogrěška		blud, grěška, hyba, pohybka, pomylka, zabluda
pogynuti		izgynuti
pohod		marš
pohodka		prohodka
pohodženje		geneza, iztok, iztočnik, izvor, nahodnost, proizhodženje, žrlo
pohva		vagina
pohvala		hvala
pohvalny		hvalebny
pohybka		blud, grěška, hyba, pogrěška, pomylka, zabluda
pohytiti		odnesti, odvesti
pohyčanje		pohyčenje
pohyčati		odnositi, odvoditi
pohyčenje		pohyčanje
poisk		iskanje
poiskyvati		iskati
pojas		pas, remenj
pojaviti se		izjaviti se, javiti se, objaviti se
pojavjati se		javjati se, objavjati se
pojavjenje		javjenje, vozniknenje
pojedinok		duel, dvoboj
pojeti		postignuti, razbrati, srazuměti
pojetje		ideja, koncepcija, pomysl, prědstava, zamysl
pojezd		vlak
pojiti		napajati
pojmanje		percepcija, razuměnje, vozprijetje
pojmati		postigati, razbirati, razuměti
poka		dokolě, dopoka
pokajanje		razkajanje
pokajati se		razkajati se
pokazati		izstaviti, okazati, ukazati
pokazyvati		izstavjati, okazyvati, ukazyvati
poklik		zov
pokoj		mir, spokojstvo
pokojnik		nebožčik
pokojny		umrly, umrěly
pokoljenje		generacija
pokoriti		nadigrati, poraziti
pokornost		unižnost
pokorny		krotky
pokrestiti		okrestiti
pokromě		kromě togo, čto bolje, čto vyše
pokrovnik		srodnik
pokrovnost		rodstvo, srodstvo
pokrovny		rodstveny, spokrovnjeny, srodny
pokryti		obložiti
pokrytje		povlaka
pokryv		strěha
pokryvalo		naprostrina
pokryvati		nakryvati, oblagati
pokupka		kup, kupja, zakupka
pokus		eksperiment, izkus, opyt, proba
pokusiti		poprobovati
pokušati		probovati
pokušenje		opyt, proba
pol		polovina
pol-		polu-
poldenj		poludnje
poldnik		meridian
polet		let, lětanje
polirati		šlifovati
politeizm		mnogobožstvo
polivka		supa
poljana		livada, luka
poljzovati		izkoristyvati, koristati, koristiti, priměnjati, upotrěbjati, uživati
polno		cělkom, kompletno, popolno, sovsim, sovsěm, vpolno, vpolně
polonez		poloneza
poloneza		polonez
polovina		pol
položenje		pozicija, razpoloženje, situacija, stanovišče
polu-		pol-
poludnje		poldenj
polučati		dostavati, iziskyvati
polučiti		dobyti, dostati, iziskati
polzati		laziti, lězti, polzti
polzavica		polzuča rastlina
polzti		laziti, lězti, polzati
polzuča rastlina		polzavica
polž		slimak
pomalo		medlo, povoljno
pomaly		medly, nebystry, povoljny
pomarančevy		oranževy
pomazati		omastiti
pomidor		tomat
pomiluj		izvini, izvinite
pomimo		na prěkor
pomnik		memorial, monument, pametnik
pomněti		pametati
pomočny		koristny
pompa		nasos, pyšnost
pomsta		msta
pomyliti		izmamiti, obmanuti, omamiti, prěslěpiti
pomyljeny		razměšany, smučeny
pomylka		blud, grěška, hyba, pogrěška, pohybka, zabluda
pomysl		ideja, myslj, pojetje
poměstiti		uměstiti, vměstiti
poměšany		směšany
poměščati		uměščati
poměščenje		komnata, komora
ponad		nad, povyše
poneže		ibo, jer, jerbo, tomu že, zato že, zatože
poniziti		uniziti, upokorniti
poniž		pod, poniže
ponižajuči		unižajuči
ponižati		unižati, upokarnjati
poniže		pod, poniž
poniženje		uniženje
ponje		hot by, prinajmenje
ponovno		iznova, nanovo, opet, snova
ponovny		povtorny
ponožka		škarpetka
poněkde		tu i tam
poněkogda		poněkogdy, povrěmenno, časom
poněkogdy		poněkogda, povrěmenno, časom
poněkoj		někoj, poněktory
poněktory		někoj, poněkoj
popaljenina		opeklina
popel		pepel
popelavy		pepelavy, pepelisty, popelisty
popelisty		pepelavy, pepelisty, popelavy
popelnica		pepelnik
poplava		potop, razliv, zatopjenje
poplaviti		zatopiti
popoldenj		popoludnje
popolno		absolutno, cělkom, cělkovito, kompletno, polno, sovsim, sovsěm, vpolno, vpolně
popolnost		dovršenost, kompletnost
popolny		absolutny, kompletny
popoludnje		popoldenj
poprava		popravka, remont
popraviti		izpraviti, napraviti, opraviti
popravjati		izpravjati, korigovati, napravjati, opravjati, remontovati
popravka		korekcija, poprava, remont
popravnost		pravilnost, pravost
popravny		pravilny, pravy
poprobovati		pokusiti
poprsje		bjust
poprědnji		poprědny, prědhodny, prědšedši
poprědny		poprědnji, prědhodny, prědšedši
poprěk		prěz, črěz
popularny		obljubjeny
popustiti		oslabiti
popuščati		opuščati, oslabjati
popytka i dostavka		dostavka i popytka
poraditi		posovětovati
poranjenje		rana
poravniti		uravniti
poraziti		nadigrati, pokoriti, prěmogti, razgromiti, udariti
poražka		razgrom
pored		podle, susědno do, vodle
poredok		red
porod		narodženje, rodženje
poroditi		naroditi, privesti, sploditi, uroditi
porok		brak, hyba, nedostatok, neizgoda
porota		prisežni
porotnica		prisežna
porotnik		prisežny
port		pristanišče
portier		nosač, vratar
portmone		mošna
porubati		posěkti
poručati se		ručiti se
poručenec		garant, poručitelj
poručenje		nakaz, pridělanje, prikaz, razporedženje, zadanje
poručeny		garantovany
poručitelj		garant, poručenec
poručiteljstvo		garancija
poručnik		lejtenant
porušiti		razrušiti, razvaliti
poryv		impuls
posada		ekipa
poseljenje		kolonija, oseljenje
posesivny zaimennik		prisvojiteljny zaimennik
poslanec		poslannik, věstnik
poslannik		poslanec, posol
poslati		izslati, odpraviti, prislati
poslě		po, potom, za
poslědica		izhod, izslědok, naslědok, poslědstvo, rezultat
poslědnji		poslědny
poslědny		poslědnji
poslědovatelj		adept, privrženec, strannik
poslědovateljno		vslědno
poslědovateljny		vslědny
poslědstvo		izhod, izslědok, naslědok, poslědica, rezultat
posmotriti		pogledati, pozrěti
posol		poslannik
posoliti		osoliti
posovětovati		poraditi
pospati		drěmnuti
posrany		govněny
posrěd		medžu, srěd, vsrěd
posrědnji		posrědny
posrědny		posrědnji
postanavjati		rěšati
postanoviti		razrěšiti, rěšiti
postanovjenje		dekret, razrěšenje, razsudženje, rěšenje, ukaz
postarěti		ostarěti
postaviti		sbudovati, ustaviti
postavjati		budovati, staviti, stavjati, ustavjati
postelina		ležkovina
posteliti		postlati
postelj		ležišče, lože
postigati		pojmati
postignuti		pojeti, srazuměti
postlati		posteliti
postojanno		bezprěryvno
postojanny		bezprěryvny, staly
postrah		strah, užas
postranny		bočny, vněšnji, vněšny
postup		hod, progres, razvivanje, razvoj
postupanje		povedenje, provodženje
postupati		provoditi
postupka		procedura
posvědčati		ověrjati, potvrdžati
posvědčiti		ověriti, potvrditi
posylati		izsylati, odpravjati, odsylati, prisylati, slati
posědanje		iměnje, vlastničstvo, vlastnost
posědatelj		posědnik, sobstvenik, vlastnik
posědati		imati, iměti, vlastniti
posědlivy		prisvojny
posědnik		posědatelj, sobstvenik, vlastnik
posějati		obsějati, zasějati
posěkti		porubati
posěsti		ovladnuti, zagospodariti, zavladnuti
posětiti		navěditi
posěčati		navědžati
posěčenje		vizita
potapjati		pogružati
potelefonovati		zatelefonovati
potom		ovogda, ovogdy, poslě
potop		poplava, razliv, zatopjenje
potopiti		pogruziti
potrajati		potrvati
potresati		voztresati
potresti		voztresti, zatresti
potrvati		potrajati
potrěba		nudža
potrěbny		neobhodimy, nužny
potvrditi		ověriti, podkrěpiti, posvědčiti
potvrdžati		ověrjati, posvědčati
potvrdženy		ověrjeny
pouka		lekcija
poučati		obučati
poučenje		instrukcija
poučiti		obučiti
povaga		považanje, respekt, uvažanje
považanje		povaga, respekt, uvažanje
považati		uvažati
považeny		dostojny
povedenje		postupanje, provodženje
povezati		svezati
povezka		bandaž
povezyvati		svezyvati
povinen		dolžen, dolžny, povinny
povinny		dolžen, dolžny, povinen
povlaka		pokrytje
povod		dovod, pričina, razlog
povodom		po slučaju
povoljno		medlo, pomalo
povoljny		medly, nebystry, pomaly
povoz		vagon, vagonetka, vozok
povrat		obrat
povratna informacija		povratna svez
povratna svez		povratna informacija
povratny		vozvratny
povratok		oddanje
povraz		motvuz, vezalo, vrvka, šnur
povrhnja		povrhnost, površina
povrhnost		povrhnja, površina
povrnuti		obratiti, obrnuti
povrtati		obračati, točiti
povrěmenno		od vrěmene do vrěmene, od časa do časa, poněkogda, poněkogdy, časom
povrěmenny		prigodny
površina		povrhnja, povrhnost
povsednji		každodenny, obyčajny, obyčny, vsakodenny, vsakodnevny
povstanec		buntovnik
povstanje		bunt, metež, vozstanje
povstati		vozstati
povstavati		vozstavati
povtorny		ponovny
povyšati		uveličati
povyše		nad, nagorno, ponad, vyše
povyšenje		uveličenje
povědati		kazati, razkazyvati
povědač		razkaznik
povědka		pověst, razkaz
pověděti		razkazati
pověriti		dověriti
pověrjati		dověrjati
pověrje		prazdnověrje, sujevěrje, zabobonnost
pověrjennik		agent, opekun
pověst		povědka, razkaz
poza		stojka
pozadje		fon, podklad, tlo
pozadu		dozad, nazad, nazadno, vzad
pozastaviti		podvisiti
pozdněje		vyše pozdno
pozdrav		ahoj
pozemny		nazemny, zemny
pozicija		položenje, razpoloženje, stanovišče
pozirati		gleděti, smatrjati, smotriti, zrěti
pozlačati		zlatiti
poznanec		znajemy, znanec
poznanje		razpoznanje, uznanje
poznati		uznati
poznavati		razpoznavati, uznavati
pozor		izgled, oblik, obličje
pozornost		uvaga, vnimanje, čuvanje
pozrěti		glednuti, pogledati, poglednuti, posmotriti
pozvaljaje se		dozvaljaje se
pozvaljati		dopuščati, dozvaljati
pozvanje		prizvanje
pozvati		prizvati
pozvolimy		dopustimy, dozvolimy, dozvoljeny
pozvoliti		dopustiti, dozvoliti
početi		načeti, započeti, začeti
početi se		načeti se
početkovo		izprva, na početku, od početka
početok		načelo, začetok
počin		iniciativa
počinati		načinati, započinati, začinati
počinati se		načinati se
počutje		čutje, čuvstvo
počva		glina, zemja
poškodženje		škoda
požarnik		gasitelj
požarogasnik		gasilo
požrěti		sožrti, sožrěti
praca		dělo, rabota, trud
pracodavec		rabotodatelj
pracovati		rabotati
pracovito		marlivo, trudoljubivo
pracovitost		marlivost, trudoljubivost, trudoljubje
pracovity		marlivy, trudoljubivy, usrdny
pracovnik		rabotnik, služebnik
pradavny		davny, nepametny, starodavny
prah		pyl
praksa		praktika
praktika		praksa
prati		razparjati
pravda		istina
pravdivo		istinlivo
pravdivost		istinnost, java
pravdivy		istinlivy, istinny, realny, stvarny, věrny
pravdopodobno		prědpoložiteljno, věrojetno
pravdopodobnost		věrojetnost
pravdopodobny		věrojetny
pravedny		spravědlivy
pravica		desnica
pravilnost		popravnost, pravost
pravilny		korektny, popravny, pravy, redny, regularny
praviti		redagovati, redaktovati
pravičarsky		pravy
pravny		legalny
pravo		zakon
pravopis		ortografija, pravopisanje
pravopisanje		ortografija, pravopis
pravopisny		ortografičny
pravoruky		desnoruky
pravost		popravnost, pravilnost
pravosudje		spravědlivost
pravosudnost		jurisdikcija
pravovugolnik		premokutnik
pravy		desny, korektny, popravny, pravilny, pravičarsky
pravzor		prototip, prvobraz, prvovzor
prazdnik		svetok
prazdnina		vakuum
prazdničny		svetočny
prazdnovati		oznamenovyvati, proslavjati, slaviti
prazdnověrje		pověrje, sujevěrje, zabobonnost
prazdnověrny		zabobonny
prazdny		pusty
praščati		izvinjati, odpuščati, proščati
praščati se		proščati se
prdak		dupa, rit, zadnica, žopa
prděti		bzděti
predikat		prisudok
preferovati		prědpostavjati, prědpočitati, prědvyšati, volěti
prefiks		prědrastka
premija		dodatok
premo		bezposrědnje, neposrědnje
premokutnik		pravovugolnik
premy		bezposrědnji, bezposrědny, neposrědnji, neposrědny, ravny
prezentacija		prědstavjenje
prezident		prědsědatelj, prědsědnik
prezidentstvo		prědsědateljstvo
prežka		spona, zapona
pri		podčas, v tečenju, v vrěmenu, v času, za
priblizno		približno
približati se		bližiti se
približeny		blizky
približno		priblizno
pribor		instrument, orudje
pribyti		dojehati
pribyvati		priježdžati
pridati		dobaviti, dodati, doložiti
pridatok		dodatok, nastavok
pridavati		dobavjati, dodavati, dokladati
pridavnik		prilagateljno ime
pridumati		izdumati, izmysliti
pridělanje		poručenje, zadanje
prigledati		dogledati
prigledati se		vgledati se
prigleděti		dogleděti
prigodny		mimohodny, naležity, povrěmenny, slučajny, uměstny, vlastny
prigotoviti		pripraviti
prigrad		prědgradje, prědměstje
prihod		dojezd
prijatelj		drug
prijateljka		družka
prijateljsky		družny, privětlivy
prijateljstvo		družba
prijatlivy		blagosklonny, ljubezny
prijatnost		ljubost, prijemnost
prijatny		mily, prijemny, ugodny
prijavjati se		logovati se
prijem		vhod
prijemnost		ljubost, naslada, prijatnost
prijemny		dobropogledny, lěpy, mily, prijatny, ugodny
prijeti		dostati
prijetje		akceptacija
priježdžati		pribyvati
prijmati		akceptovati
prikaz		nakaz, poručenje, razporedženje, zapověd
prikazati		nakazati
prikazyvati		kazati, nakazyvati
priklad		obrazec, priměr
prilagateljno ime		pridavnik
prilegly		susědny
priliv		pritok
priličny		pristojny
priloga		dodatok, priloženje
priloženje		priloga
priložiti		podključiti, prilučiti, prisjediniti
prilučati		podključati, prisjedinjati, sjedinjati
prilučati se		podključati se, prisjedinjati se, sjedinjati se
prilučiti		podključiti, priložiti, prisjediniti, sjediniti
prilučiti se		podključiti se, prisjediniti se, sjediniti se
primamka		vabik
primarny		prvotny
priměniti		upotrěbiti, užiti
priměnjati		koristati, koristiti, poljzovati, upotrěbjati
priměr		priklad
priměrny		vzorny
primětiti		zauvažiti
primětka		zapiska
priměčati		zauvažati
prinajmenje		hot by, ponje
prinaležati		naležati
princip		zasada
prinesti		nanesti
prinos		vklad
printer		pečatar
prioritet		prědnost
pripominati sobě		vozpametati, vozpominati
pripomněti sobě		vozpomněti
pripraviti		prigotoviti, zapraviti
pripravjati		zapravjati
pripustiti		dopustiti, dozvoliti, priznati
pripuščati		dopuščati, dozvaljati, priznavati
prirastka		afiks
priroda		jestestvo
prirodničny		naturalističny
prirodny		naturalny
prirodopis		prirodovědstvo, prirodoznavstvo
prirodovědstvo		prirodopis, prirodoznavstvo
prirodoznavstvo		prirodopis, prirodovědstvo
priručnik		područnik
priručny		područny
prisega		zarok
prisežna		porotnica
prisežni		porota
prisežny		porotnik
prisjediniti		podključiti, priložiti, prilučiti, sjediniti
prisjediniti se		podključiti se, prilučiti se, sjediniti se
prisjedinjati		podključati, prilučati, sjedinjati
prisjedinjati se		podključati se, prilučati se, sjedinjati se
prislati		izslati, odpraviti, poslati
prislovica		prislovje
prislovje		prislovica
prislovnik		narěčje, prislovok
prislovok		narěčje, prislovnik
prisposobjenje		adaptacija, kustomizovanje
pristanišče		port
pristojny		priličny
pristrastny		prědsudny
pristup		dostup, napad, zahvat
prisuditi		nagraditi
prisudok		predikat
prisudžati		nagradžati
prisutnost		prisutstvo
prisutny		pritomny
prisutstvo		prisutnost
prisvajati		privlastnjati sobě
prisvojiteljny zaimennik		posesivny zaimennik
prisvojiti		privlastniti sobě
prisvojny		posědlivy
prisylati		izsylati, odpravjati, odsylati, posylati, slati
priteganje		atrakcija
pritegati		privlačivati, privlěkati
priteglivost		aljur, atrakcija, privlěkateljnost
priteglivy		atraktivny, privlěkateljny
pritegnuti		privlěkti
pritisk		napor, natisk, pritiskanje
pritisk krvi		krovny pritisk
pritiskanje		napor, pritisk
pritiskati		natiskati
pritisknuti		natisknuti
pritok		naplyv, priliv
pritomny		prisutny, svědomy
priučati		privykati
priučati se		privykati se
priučeny		privykly, privykneny
priučiti		privyknuti
priučiti se		privyknuti se
privabiti		privlěkti, svabiti
privabjati		privlačivati, privlěkati
privesti		poroditi
privezti		vvezti
prividno		sdanlivo
prividny		sdanlivy
prividěnje		duh, fantom, halucinacija, prizrak
privitanje		vitanje
privlastniti sobě		prisvojiti
privlastnjati sobě		prisvajati
privlačivati		pritegati, privabjati, privlěkati
privlěkateljnost		aljur, atrakcija, priteglivost
privlěkateljny		atraktivny, priteglivy
privlěkati		pritegati, privabjati, privlačivati
privlěkti		pritegnuti, privabiti
privoditi		izzyvati, provokovati
privoljati		byti soglasny
privoziti		vvoziti
privrženec		adept, podpornik, poslědovatelj, strannik
privykati		priučati
privykati se		priučati se
privykly		priučeny, privykneny
privykneny		priučeny, privykly
privyknuti		priučiti
privyknuti se		priučiti se
privyčaj		navyk, nrav, obyčaj
privětlivy		družny, ljubezny, prijateljsky
priznak		oznaka, projav, signal, simptom, znak, znamenje
priznanje		uznanje
priznati		pripustiti, uznati
priznavati		pripuščati, uznavati
prizrak		duh, fantom, prividěnje
prizvanje		pozvanje
prizvati		pozvati
prizyvati		zvati
pričestje		particip
pričina		dovod, povod, razlog
pričinny		kauzalny
priživnik		darmojed, parazit
proba		izkus, izprobovanje, opyt, pokus, pokušenje, test
probijak		dirkovač
probijati se		prodirati se
probiti se		prodrti se, prodrěti se
problem		zagadka
probok		obrazec, vzor
probovati		pokušati, vkušati
proběganje		běg
procedura		postupka
procitovati		navesti
prodirati se		probijati se
prodolžati		dolžiti, nastavjati
prodolženje		sikvel
prodolžiti		nastaviti
prodrti se		probiti se, prodrěti se
prodrěti se		probiti se, prodrti se
produkcija		proizvodstvo
produkovati		fabrikovati, izrabotyvati, iztvarjati, proizvoditi
produkt		iztvor
produmati		obvažiti
proganjanje		gonitva, prěslědovanje
proganjati		prěslědovati, stigati
proglas		prědgovor, prědslovje, vvod
prognoza		prědpověd, prědskazanje
progoltnuti		goltnuti, pogoltnuti
progoltnuti solzy		pogoltnuti solzy
progres		postup
prohlada		hlad, hladnost, prohladnost
prohladiti		ohladiti, ostuditi
prohladnost		hladnost, prohlada
prohladny		hladny
prohod		prěhod
prohoditi		minovati
prohodka		pohodka
prohodny		medžučasny, prěhodny
proigrati		izgubiti
proigryvati		gubiti
proizhodženje		iztočnik, nahodnost, pohodženje
proizvesti		izrabotati, iztvoriti
proizvoditi		izrabotyvati, iztvarjati, produkovati
proizvodstvo		iztvorjenje, produkcija
projav		priznak, simptom
projdti		minuti
prokletje		kletva, prokletstvo
prokleto		strašno
prokletstvo		kletva, prokletje
prokuror		teznitelj
prolom		proryv
promyslny		industrialny
pronevěrjenje		raztrata
propadati		izčezati
propast		bezdna, razorjenje, upad, upadok
propasti		izniknuti, izčeznuti
propeler		elisa, vrtka
proponovati		prědkladati, prědlagati
propozicija		prědloženje
proryv		prolom
prosak		žebrak
prosim		prošu
proslaviti		oznamenovati, vozveličati
proslavjati		oznamenovyvati, prazdnovati, slaviti, vozveličivati
proslavjeny		slavny, znamenity
prostak		nevěža
prostiti		izviniti, odpustiti
prosto		legko
prostor		prostranstvo
prostranny		obširny
prostranstvo		prostor
prostrti		prostrěti
prostrěti		prostrti
prostuditi se		prěhladiti se
prostudžati se		prěhladžati se
prosty		bezusilny, legky
prosvěta		edukacija, obrazovanje
prosvěčanje		prozračnost
protein		bělok
protivdějstvo		odpor
protivlegly		obratny, protivny, protivpoloženy
protivno		naopak, obratno
protivny		obratny, protivlegly
protivpoloženy		obratny, protivlegly
protivrěčnost		nekonsistencija
prototip		pravzor, prvobraz, prvovzor
protrti		protrěti
protrěti		protrti
provod		provodnik, vodič
provoditi		postupati, provodžati
provodnik		konduktor, provod, vodič
provodžati		odpravjati, provoditi
provodženje		postupanje, povedenje
provokacija		izzov
provokovati		izzyvati, privoditi
prověrjati		verifikovati
prověrka		verifikacija
provětrjati		větriti
prozračnost		prosvěčanje
proč		von
prošedšest		minulost, prošlost
prošedši		minuly, prošly
prošlogodišnji		lansky, prošlogodišny, prošloročny
prošlogodišny		lansky, prošlogodišnji, prošloročny
prošloročny		lansky, prošlogodišnji, prošlogodišny
prošlost		minulost, prošedšest
prošly		minuly, prošedši
prošu		prosim
proščanje		razluka, razlučenje
proščati		izvinjati, odpuščati, praščati
proščati se		praščati se
prs		grud
prskati		pukati
prsknuti		puknuti
prstenj		koljce
prti		prěti
prut		kyj, pala, palka, rozga
pružny		elastičny, gybky
prvak		čempion, šampion
prvenstvo		čempionat, šampionat
prvobraz		pravzor, prototip, prvovzor
prvobytny		prvonačelny, prvotny
prvonačelno		originalno
prvonačelnost		originalnost
prvonačelny		prvobytny, prvotny
prvoredny		odličny
prvotny		primarny, prvobytny, prvonačelny
prvovzor		pravzor, prototip, prvobraz
prvy měsec		januar, sěčenj
prvěstok		element
pryšč		akne
prěadresovati		prěsměriti
prěbyvanje		pobytje
prěbyvati		obstajati, žiti
prěběglik		dezerter
prěd davnym vrěmenem		prěd davnym časom
prěd davnym časom		prěd davnym vrěmenem
prěd hviljeju		hvilja nazad, hvilja tomu
prěd několiko dnjev		několiko dnjev nazad, několiko dnjev tomu
prěd vsem		glavno
prědanje		legenda, tradicija
prědati		doručiti, dostaviti, vručiti
prědavati		doručati, dostavjati, vručati
prědavnik		izdajnik, věrolomnik
prědavstvo		věrolomnost
prědběžny		dočasny, medžuvrěmenny, prěhodny, vrěmenny, začasny, časovy
prědgovor		proglas, prědslovje, vvod
prědgradje		prigrad, prědměstje
prědgradny		prědměstny
prědhodnik		prědteča
prědhodny		poprědnji, poprědny, prědšedši
prědigra		uvertura
prědimenovany		prědprimetny
prědkladati		proponovati, prědlagati
prědlagati		proponovati, prědkladati
prědlog		prědložnik
prědloženje		propozicija
prědložnik		prědlog
prědmet		dopolnjenje, objekt, stvar, tema, věč
prědměstje		prigrad, prědgradje
prědměstny		prědgradny
prědnje		naprěd
prědnji		prědny
prědnost		izgoda, prioritet
prědny		prědnji
prědoplatnik		abonent, podpisnik
prědpoklad		prědpoloženje
prědpokladati		domněvati, prědpolagati
prědpolagati		domněvati, prědpokladati
prědpoloženje		prědpoklad
prědpoložiteljno		pravdopodobno, věrojetno
prědposlědnji		prědposlědny
prědposlědny		prědposlědnji
prědpostavjati		preferovati, prědpočitati, prědvyšati, volěti
prědpověd		prognoza, prědskazanje
prědpovědati		prědskazyvati, prědvidyvati
prědpověděti		prědskazati, prědviděti
prědpočitati		preferovati, prědpostavjati, prědvyšati, volěti
prědprijemstvo		firma, kompanija
prědprijeti		podjeti
prědprijmati		podimati
prědprimetny		prědimenovany
prědrastka		prefiks
prědskazanje		prognoza, prědpověd
prědskazati		prědpověděti, prědviděti
