isv	pos	synonyms
cigan		ciganin
ciganin		cigan
cirkulacija		obrat
citovati		navoditi
civilny		gradžansky
colj		palec
crkov		crkva, kostel
crkva		crkov, kostel
cukina		kabaček
cukrar		sladkar
cukrarnja		sladkarnja
cukrka		bonbon
cvekla		rěpa
cvrček		svrček
cvěsti		cvětati, cvětnuti
cvět		barva, kolor
cvětati		cvěsti, cvětnuti
cvětenj		aprilj, četvrty měsec
cvětenje		razcvět
cvětna kapusta		karfiol
cvětnuti		cvěsti, cvětati
cvětny pyl		pylok
cěditi		filtrovati
cěliti		měriti
cělj		meta
cělkom		cělkovito, kompletno, polno, popolno, sovsim, sovsěm, vpolno, vpolně
cělkovito		cělkom, kompletno, popolno, sovsim, sovsěm, vpolno, vpolně
cělkovity		kompletny, totalny
cělo		v sumě, vsego
cělodenny		cělodnevny
cělodnevny		cělodenny
cělost		dovršenost, kompletnost
cěnnost		godnost
cěsar		car, imperator
cěsarstvo		carstvo, imperija
cěvka		truba
da		nehaj, že
da by		aby, že by
dakle		itak, takto
dalekogled		binoklj
daleky		daljnji, daljny, oddaljeny
daleky iztok		daleky vozhod
daleky vozhod		daleky iztok
dalj		razstojanje, udaljenost
daljnji		daleky, daljny, oddaljeny
daljny		daleky, daljnji, oddaljeny
dama		carica, gospodža, kralica, kraljeva
danina		danj, danok
danj		danina, danok, platba, podanok
danok		danina, danj, platba, podanok
dansing		tanec
dar		darovanje, podarok, talent
dar krve		darovanje krve
daritelj		davač
dariti		darovati, nadavati
darmojed		priživnik
darmovo		zadarmo
darmovy		bezplatny
darovanje		dar
darovanje krve		dar krve
darovati		dariti
darovity		obdarjeny
dateljnik		dateljny padež, dativ
dateljny padež		dateljnik, dativ
dativ		dateljnik, dateljny padež
datulja		finik
daunlodovanje		dostava
daunlodovati		dostavati
davač		daritelj, davec
davec		davač
daviti		dušiti
davny		antičny, drěvny, nepametny, pradavny, starodavny
dača		halupa
daže		až, dokonce, navet
debata		diskusija, razprava
debely		brjuhaty, tolsty
decembr		dekembr, dvanadsety měsec, sněženj
defekt		brak, nedostatok
definicija		izznačenje
definiovati		izznačati, oprěděljati
deformovati		izopačati, snetvarjati
degeneracija		izrodženje
degenerat		izrodok
degot		smola
dekembr		decembr, dvanadsety měsec, sněženj
deklamovati		recitovati
dekoracija		ozdoba, ukrašenje
dekret		postanovjenje, ukaz
dekuju		blagodarim, blagodarju
dekujuči		blagodare, hvala
